CourtId  CourtName                                                              CourtLocation     RecordStatus  
    160  CIVIL JUDGE-VII MARDAN                                                 MARDAN                         1
    161  CIVIL JUDGE (XII) MARDAN                                               MARDAN                         1
    162  ADDL. DISTT. JUDGE MALAKAND AT BATKHELA                                BATKHELA                       1
    163  SR. CIVIL JUDGE CHINIOT                                                CHINIOT                        1
    164  CIVIL JUDGE/ILAQA QAZI AT BATKHELA DISTT. MALAKAND                     MALAKAND                       1
    165  DISTT. JUDGE SUDHNUTI/PALANDRI AJ&K                                    AJ&K                           1
    166  PESHAWAR HIGH COURT MINGORA BENCH/DARUL QAZA SAWAT                     SAWAT                          1
    167  Civil Judge Court No.1 Muzaffarabad                                    Muzaffarabad                   1
    168  SESSION JUDGE DISTT. SHANGLA                                           SHANGLA                        1
    169  DISTT. & SESSION JUDGE /REFEREE COURT DISTT. MALAKAND AT BATKHELA      BATKHELA                       1
    170  ADDL. DISTT. JUDGE GHAZI DISTT. HARIPUR                                HARIPUR                        1
    171  CIVIL JUDGE WAZIRABAD DISTT. GUJRANWALA                                GUJRANWALA                     1
    172  ADDL. DISTT. JUDGE SHEIKHUPURA                                         SHEIKHUPURA                    1
    173  DSTT. JUDGE CHINIOT                                                    CHINIOT                        1
    174  NAB (RWD) CIVIC CENTRE G-6, ISLAMABAD                                  ISLAMABAD                      1
    175  Civil Judge, Islamabad                                                 Islamabad                      1
    176  NEPRA Islamabad                                                        Islamabad                      1
    177  SENIOR CIVIL JUDGE ISLAMABAD                                           ISLAMABAD                      1
    178  Competition Commission of Pakistan GoP Islamabad                       Islamabad                      1
    179  Banking Court Rawalpindi                                               Rawalpindi                     1
    180  CIVIL JUDGE JUDICIAL MAGISTRATE NANKANA SAHIB                          NANKANA SAHIB                  1
    181  CIVIL JUDGE 1ST CLASS RAHIMYAR KHAN                                    RAHIMYAR KHAN                  1
    182  Civil Judge Hunza Gilgit-Baltistan                                     Gilgit-Baltistan               1
    183  Distt. Judge, lahore                                                   Lahore                         1
    184  Additional Distt. Judge lahore                                         Lahore                         1
    185  International Court of Arbitration (ICC)                               ICC                            1
    186  Plate-I, Lahore                                                        Lahore                         1
    187  National Industial Relations Commission (NIRC), Islamabad              Islamabad                      1
    188  Peshawar High Court, Banu Bench                                        Banu                           1
    189  Civil Judge-II Muzaffarabad                                            Muzaffarabad                   1
    190  JUDICIAL MAGISTRATE-II HARIPUR                                         HARIPUR                        1
    191  DISTRICT JUDGE RAWALPINDI                                              RAWALPINDI                     1
    192  CIVIL JUDGE-IV MUZAFFARABAD                                            MUZAFFARABAD                   1
    193  CIVIL JUDGE 1ST CLASS-CUM JUDICIAL MAGISTRATE, SOHAWA DISTRICT JEHLUM  JEHLUM                         1
    194  CIVIL JUDGE COURT NO.II MUZAFFARABAD AJ&K                              AJ&K                           1
    195  SENIOR CIVIL JUDGE BESHAM DISTT. SHANGHLA KPK                          SHANGHLA KPK                   1
    196  ADDL. DEPUTY COMMISIONER (REVENU) DISTT. RAWALPINDI                    RAWALPINDI                     1
    197  ADDL. DISTT. JUDGE DHEERKOT                                            DHEERKOT                       1
    198  CIVIL JUDGE 1ST CLASS JEHLUM                                           JEHLUM                         1
    199  CIVIL JUDGE-IX NOWSHEHRA                                               NOWSHEHRA                      1
    200  ADDITIONAL DISTRICT JUDGE JEHLUM                                       JEHLUM                         1
    201  Additional Session Judge, Jampur                                       Jampur                         1
    202  Additional Session Judge, D.G. Khan                                    D.G. Khan                      1
    203  Judicial Magistrate, Multan                                            Multan                         1
    204  FULL BENCH NIRC AT LAHORE                                              LAHORE                         1
    205  SPECIAL JUDICIAL MAGISTRATE MULTAN CANTT                               MULTAN CANTT                   1
    206  DOUBLE BENCH LAHORE HIGH COURT MULTAN BENCH                            MULTAN BENCH                   1
    207  SENIOR CIVIL JUDGE AND RENT CONTROLLER-VII HYDERABAD                   HYDERABAD                      1
    208  CIVIL JUDGE LORALAI                                                    LORALAI                        1
    209  DISTRICT JUDGE LORALAI                                                 LORALAI                        1
    210  DEPUTY COMMISSIONER, HYDERABAD                                         HYDERABAD                      1
    211  FST Karachi                                                            Karachi                        1
    212  Senior Civil Judge Distt. Kasur                                        Kasur                          1
    213  COMMISSION OF INQUIRY ON ENFORCED DISAPPEARANCES ISLAMABAD             ISLAMABAD                      1
    214  ADDITIONAL DISTT. & SESSION JUDGE-I NOWSHEHRA.                         NOWSHEHRA.                     1
    215  ADDL. DISTT. JUDGE               dbfmsdnf,jsdh                                      JHELUM                         1
